                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      9,                 1.8402,                 2.3647,                 1.5042,                0.29699,                0.11765,                0.08141,                0.03803,                 1.8939,                 2.2307,                 1.6888,             0.00014673,             0.00014673,             0.00014673
                     10,                 1.8524,                 2.3345,                 1.5649,                0.36427,                0.11765,                0.08676,                0.03746,                  1.827,                 2.0678,                 1.6929,             0.00015055,             0.00015055,             0.00015055
                     11,                 1.8001,                 2.2773,                 1.5939,                0.35352,                0.23529,                0.15301,                0.07228,                 1.7184,                 1.8822,                 1.6253,             0.00015155,             0.00015155,             0.00015155
                     12,                 1.5869,                 1.9038,                  1.546,                0.35352,                0.23529,                0.15301,                0.07228,                 1.7184,                 1.8822,                 1.6253,             0.00014971,             0.00014971,             0.00014971
                     13,                 1.5938,                 2.0425,                 1.4205,                 0.3808,                0.23529,                0.17988,                 0.0613,                 1.6413,                 1.7449,                 1.6003,             0.00014504,             0.00014504,             0.00014504
                     14,                 1.5125,                 1.8587,                 1.4308,                0.51441,                0.23529,                0.18923,                0.06953,                 1.5763,                  1.627,                 1.6051,             0.00013755,             0.00013755,             0.00013755
                     15,                 1.4007,                 1.7113,                 1.3705,                0.51441,                0.23529,                0.18923,                0.06953,                 1.5763,                  1.627,                 1.6051,             0.00012722,             0.00012722,             0.00012722
                     16,                 1.4707,                 1.7211,                 1.3917,                0.62654,                0.23529,                0.20646,                 0.0613,                 1.5306,                 1.5496,                 1.6022,             0.00011407,             0.00011407,             0.00011407
                     17,                 1.4813,                 1.6606,                 1.4152,                0.56923,                0.23529,                0.22808,                0.07274,                 1.4945,                 1.4908,                 1.6219,             9.8087e-05,             9.8087e-05,             9.8087e-05
                     18,                 1.3397,                 1.4722,                 1.3781,                0.56923,                0.23529,                0.22808,                0.07274,                 1.4945,                 1.4908,                 1.6219,             7.9274e-05,             7.9274e-05,             7.9274e-05
                     19,                 1.4395,                  1.567,                  1.383,                0.56578,                0.11765,                0.12085,                0.05171,                  1.466,                 1.4558,                 1.6406,             5.7632e-05,             5.7632e-05,             5.7632e-05
                     20,                 1.3312,                 1.5502,                  1.372,                0.56578,                0.11765,                0.12085,                0.05171,                  1.466,                 1.4558,                 1.6406,              3.316e-05,              3.316e-05,              3.316e-05
                      1,                 3.4346,                 3.9438,                 2.5922,                0.00095,                0.05882,                0.00051,                  5e-05,                 4.0678,                 4.1682,                 2.7512,                  2e-05,                  2e-05,                  2e-05
                      2,                 3.2479,                 3.7095,                 2.3386,                0.00095,                0.05882,                0.00051,                  5e-05,                 3.8888,                 3.9909,                  2.789,              5.802e-05,              5.802e-05,              5.802e-05
                      3,                 2.9693,                  3.625,                 2.3287,                 0.0019,                0.11765,                0.00108,                0.00016,                 3.1616,                 3.7676,                  2.628,               9.34e-05,               9.34e-05,               9.34e-05
                      4,                 2.4751,                 3.4139,                 2.1478,                0.00933,                0.41176,                0.00699,                0.00176,                 2.4727,                 3.2383,                 2.4299,             0.00012614,             0.00012614,             0.00012614
                      5,                 2.1436,                 3.0943,                 1.9536,                0.01278,                0.67647,                0.01581,                0.00567,                 2.0549,                 2.8887,                 2.2374,             0.00015624,             0.00015624,             0.00015624
                      6,                 1.9143,                 2.6572,                 1.8036,                0.01381,                0.85294,                0.07492,                0.02271,                 1.8491,                 2.4477,                 2.1641,              0.0001837,              0.0001837,              0.0001837
                      7,                 1.8517,                  2.485,                 1.8589,                0.22877,                0.58824,                0.16703,                0.06007,                 1.8126,                 2.0582,                 2.1995,             0.00020852,             0.00020852,             0.00020852
